12	243	288	187	86	66	50	57	40	67	56	243	288	187	85	65	50	56	39	68	56	45	49	44	37	32	28	33	24	36	32	4	3	4	4	2	4	3	3	4	3	3	4	4	4	3	3	3	4	5	4	4	5	4	5	4	5	4	5	5	4	3	3	3	2	2	4	3	4	3	3	36	36	34	29	25	23	23	19	24	23	112	155	271	91	64	48	49	37	55	47	112	155	270	91	64	49	49	37	55	47
28	243	288	187	87	66	50	58	39	68	56	243	288	187	87	66	51	57	39	68	57	45	49	44	36	33	28	33	24	36	33	3	3	3	3	4	4	3	4	4	3	5	3	4	3	3	4	3	5	5	3	5	5	4	4	4	5	5	5	5	5	3	2	3	3	3	3	3	3	3	4	36	36	34	28	25	24	23	20	24	23	111	155	271	90	63	50	50	38	56	48	111	155	270	90	64	49	50	39	56	47
45	243	288	187	86	66	50	57	40	69	57	243	288	187	86	66	50	57	40	69	57	46	50	46	37	33	28	32	24	37	33	3	3	3	3	3	4	4	3	3	4	5	4	5	3	3	4	4	5	4	4	4	4	4	4	4	5	6	5	4	5	3	3	3	2	3	4	3	4	3	3	36	36	34	28	25	24	23	20	25	23	111	155	270	90	64	48	50	38	55	48	111	155	270	90	64	48	50	38	55	47
83	243	288	186	86	66	51	57	41	69	55	243	289	187	86	66	50	57	39	68	56	45	49	44	36	33	28	32	24	36	32	3	3	3	5	2	3	3	4	3	3	4	4	4	3	2	4	4	4	4	3	4	4	4	4	4	5	4	4	4	5	3	3	3	3	4	3	3	4	3	3	36	36	33	28	25	24	22	20	24	23	111	155	270	89	64	48	50	38	55	47	111	154	270	89	64	48	49	37	55	47
90	243	288	186	86	66	51	56	39	68	56	243	288	187	86	66	50	57	41	68	57	45	48	44	36	33	29	32	24	37	32	4	3	3	3	1	4	3	4	3	3	4	4	4	4	3	4	4	4	3	4	4	4	4	5	4	5	4	4	4	5	2	3	3	3	3	4	4	6	3	3	35	35	34	28	25	24	22	20	25	23	111	155	270	90	64	49	50	38	55	47	111	155	270	90	63	49	50	37	55	47
102	243	288	187	86	66	50	57	40	68	56	243	288	187	86	66	50	57	39	68	57	45	48	44	36	33	28	32	24	37	33	4	5	3	3	3	4	3	3	3	3	4	4	4	3	3	4	4	4	3	3	4	4	4	4	4	5	4	5	6	5	2	3	3	3	4	4	3	4	4	4	35	36	34	28	26	23	23	19	24	23	111	155	271	90	63	48	50	38	55	47	111	155	270	90	63	50	50	37	55	47
113	243	288	187	85	66	51	56	40	68	56	243	288	187	86	67	51	56	39	68	56	45	49	45	38	33	29	32	24	36	33	4	3	4	4	3	3	3	3	3	3	5	4	3	3	4	4	5	3	3	3	4	4	4	4	5	6	5	5	5	5	3	3	3	3	3	5	5	4	3	4	36	36	34	28	27	24	23	19	25	23	112	155	271	91	64	49	51	37	55	47	111	155	270	90	63	50	51	39	56	47
130	243	288	186	86	66	51	58	38	68	57	243	288	187	86	66	50	57	39	67	56	44	49	45	36	33	28	32	24	37	33	3	3	2	4	3	4	3	4	3	3	3	4	3	3	3	4	3	4	3	3	4	4	4	5	4	5	4	5	5	6	2	2	2	4	3	5	4	4	3	3	36	37	34	28	25	24	23	19	25	23	111	154	270	90	64	49	49	38	55	47	111	154	270	90	64	48	49	38	55	48
150	243	288	188	87	66	51	57	39	68	56	243	288	187	86	66	51	58	40	68	56	45	50	44	37	33	28	32	24	37	32	4	3	3	4	3	4	3	4	3	4	4	4	4	3	3	3	3	4	4	4	4	4	4	4	4	4	5	7	5	4	4	4	3	3	4	3	3	6	4	4	35	36	34	28	26	23	23	21	25	23	112	155	270	90	63	49	49	39	56	48	111	154	270	90	63	48	49	39	56	48
171	243	287	187	86	66	51	57	39	68	56	243	288	188	85	67	51	57	39	68	56	45	48	44	38	34	29	31	24	36	32	3	3	4	5	4	3	3	3	3	3	4	4	3	4	4	3	5	5	3	4	5	4	4	4	4	5	4	5	4	5	3	3	3	3	4	3	3	6	4	5	35	36	34	28	25	24	23	20	25	23	111	156	270	90	64	50	50	38	56	48	111	154	270	90	64	49	50	39	55	47
183	243	288	186	85	66	50	57	43	68	56	243	288	187	86	68	50	56	39	68	56	45	49	44	36	32	28	32	24	36	32	3	3	3	4	3	3	3	4	3	3	5	4	4	4	3	4	4	4	3	4	5	5	5	4	4	5	5	5	4	4	4	3	3	3	3	3	3	4	3	3	36	36	35	29	26	24	23	19	25	23	112	156	270	89	64	49	50	37	55	47	112	155	271	89	64	49	49	37	55	47
210	243	288	187	86	66	51	56	40	68	56	243	288	187	86	66	50	57	39	69	56	45	48	45	37	32	28	32	24	36	33	5	5	3	2	3	4	3	3	2	2	5	4	4	3	3	4	3	4	3	3	3	5	5	4	4	4	4	5	4	4	3	3	3	3	2	3	3	4	3	4	36	36	33	29	25	25	24	19	26	22	111	155	271	89	63	49	49	37	55	47	111	155	270	89	63	49	49	37	55	48
222	243	288	187	86	66	51	57	40	68	57	243	288	187	86	66	50	57	39	68	56	45	48	45	37	33	28	31	24	36	32	5	3	4	3	3	4	3	3	3	3	5	4	3	5	5	4	3	4	3	4	6	5	6	4	4	5	4	4	4	5	5	3	3	4	3	3	3	3	3	3	35	36	35	28	25	24	23	19	25	23	112	155	271	91	64	49	49	37	55	47	111	155	270	90	64	50	49	37	55	47
232	243	288	187	86	66	50	57	38	68	56	244	289	187	86	66	51	57	41	69	56	46	50	45	37	34	30	31	24	36	33	4	3	3	4	4	3	3	5	3	3	3	4	3	3	3	5	3	5	4	5	5	5	5	5	6	5	5	5	4	4	3	3	3	3	4	4	3	4	3	3	36	35	35	28	26	24	24	19	26	23	112	154	271	91	63	49	49	37	55	47	112	155	270	89	63	49	49	38	55	47
251	243	288	187	86	66	51	56	39	68	57	243	288	186	86	65	50	57	39	68	56	47	49	45	37	33	28	31	24	36	32	4	3	5	5	4	4	3	4	3	3	3	3	4	5	4	4	3	4	3	4	4	4	4	5	4	5	4	5	4	5	3	3	3	3	3	4	5	6	3	4	35	36	33	29	26	24	23	19	25	23	112	155	270	91	64	48	49	38	55	47	111	155	270	90	65	50	49	37	55	47
266	243	288	187	86	65	51	57	39	68	57	243	288	188	86	66	51	57	41	68	56	45	48	44	38	34	30	32	24	36	33	4	3	4	4	5	3	3	4	2	3	4	3	4	4	5	4	4	3	3	5	4	4	4	4	4	5	4	5	4	6	3	3	3	3	3	5	3	4	4	5	35	37	34	28	26	24	23	19	25	23	111	155	270	90	64	49	50	37	55	47	111	154	270	90	65	49	50	38	55	47
285	243	288	188	86	67	51	57	40	68	57	243	288	186	86	67	51	57	39	68	57	45	49	44	36	33	29	32	25	36	33	3	3	3	3	3	4	3	4	3	4	4	4	4	4	3	4	3	4	5	4	4	4	4	4	4	5	4	5	4	5	3	3	3	3	3	3	3	4	3	4	35	36	33	28	25	24	23	19	25	22	112	155	271	89	63	49	50	38	55	47	112	155	269	90	63	48	50	38	55	47
303	243	288	186	86	66	51	57	40	68	57	243	288	187	86	66	50	58	39	68	57	45	49	44	36	33	28	32	24	36	33	3	3	3	3	3	5	3	4	3	3	4	3	5	4	3	4	4	4	3	5	4	4	4	4	4	4	4	4	5	4	3	3	3	3	4	3	3	4	3	4	36	36	34	28	25	24	23	19	24	23	112	155	270	89	63	48	50	37	55	47	111	154	270	90	63	48	49	38	55	47
320	243	287	187	86	66	51	57	39	68	56	243	287	187	86	66	50	57	39	68	56	46	49	44	37	32	29	31	24	36	33	5	3	3	4	3	4	3	4	3	3	5	3	4	3	3	4	3	4	3	4	4	4	4	4	4	4	4	5	4	5	3	3	3	3	4	3	3	4	3	4	37	36	33	28	25	24	23	19	25	23	111	155	271	89	63	49	49	38	55	47	111	155	269	90	64	48	49	37	55	47
336	243	288	187	86	66	51	59	39	68	56	244	288	187	86	66	50	57	39	68	57	45	48	44	36	32	28	32	24	36	33	4	3	3	3	3	5	4	3	3	3	3	4	4	5	3	4	3	4	4	4	4	4	4	4	3	5	4	5	4	4	3	4	3	2	3	4	2	5	4	3	35	36	34	28	25	23	24	18	24	23	111	154	270	89	63	48	50	38	55	47	111	155	269	90	63	48	50	37	55	47
351	243	288	187	85	66	50	57	40	68	56	244	288	188	87	66	51	57	39	68	56	45	49	45	37	34	29	32	24	36	33	4	3	4	4	4	4	3	3	3	3	4	4	4	4	3	3	3	3	3	3	5	4	5	5	6	5	4	5	4	4	4	4	4	3	3	3	3	4	3	3	36	37	34	29	25	23	23	19	25	23	112	156	271	90	65	50	50	37	55	47	111	156	270	90	65	49	50	39	56	48
369	243	287	187	86	66	49	57	40	68	57	243	288	187	87	66	50	58	40	68	55	45	49	44	37	34	29	32	25	36	33	4	3	3	3	3	4	3	5	4	5	4	4	4	3	4	4	3	5	4	5	4	6	4	6	5	4	5	5	5	4	3	3	3	3	3	5	4	4	3	3	36	36	33	27	25	25	23	19	25	23	112	155	270	90	63	48	50	38	55	47	112	155	270	90	64	48	50	38	55	48
385	243	287	186	85	66	51	57	39	69	58	243	288	187	86	66	51	58	39	68	56	45	49	44	37	33	30	32	24	37	32	3	4	3	3	3	4	5	3	3	3	4	4	4	4	3	5	3	3	3	4	5	4	4	4	4	5	4	5	4	4	3	3	3	4	3	3	3	3	3	3	35	36	34	28	25	23	23	19	26	23	112	154	270	90	64	48	50	37	55	48	111	154	270	90	63	49	50	38	55	48
405	243	288	187	86	66	51	57	41	68	57	243	288	187	86	66	51	57	40	68	56	46	49	46	38	34	29	32	24	37	34	4	3	3	3	3	4	3	5	4	4	4	3	4	3	3	5	4	4	3	3	4	5	4	4	4	4	4	6	5	6	3	2	3	3	5	3	3	3	3	3	36	36	34	29	25	23	23	19	25	25	111	155	270	89	64	49	50	39	55	48	111	154	270	90	63	49	49	38	55	48
