4	243	287	185	83	64	47	56	39	68	55	243	287	186	83	64	51	56	40	69	56	47	51	46	38	34	28	33	26	38	33	3	2	3	3	3	4	3	4	3	3	3	3	3	3	3	4	3	4	3	3	2	2	2	3	4	4	3	3	2	3	3	3	4	3	6	5	5	4	3	4	36	37	35	28	25	23	23	19	25	23	113	156	272	86	61	46	49	38	55	47	111	157	270	88	63	46	48	37	55	46
16	243	287	186	83	64	47	56	39	68	56	243	287	186	83	65	47	56	39	67	56	48	52	47	38	33	28	32	24	36	33	3	2	3	2	3	3	3	3	2	3	4	3	3	3	3	3	3	4	3	3	2	3	2	2	3	3	2	3	2	3	4	4	4	4	4	5	5	5	4	3	36	38	35	30	25	22	23	19	25	23	112	156	271	88	63	47	49	37	55	47	112	156	270	88	63	47	48	37	55	47
41	243	287	185	83	64	47	55	40	68	56	243	287	185	83	64	47	56	39	68	56	47	50	46	38	33	28	32	25	37	34	3	3	3	3	3	3	3	3	3	2	3	3	3	3	3	4	4	4	3	4	2	3	2	3	2	3	3	3	2	3	4	3	3	3	3	4	4	4	4	4	36	38	35	29	25	23	23	19	25	23	112	156	271	87	63	46	49	37	55	47	112	157	270	87	62	45	48	37	54	46
48	242	287	185	83	65	47	56	39	68	56	243	287	185	83	65	48	55	40	67	56	46	51	46	38	34	28	32	25	37	33	4	3	3	3	3	3	3	3	2	3	3	3	4	3	3	4	4	3	3	3	2	3	3	3	2	3	2	4	3	3	4	4	4	4	3	4	3	3	5	4	36	37	34	28	25	23	23	20	25	23	112	156	271	86	62	46	49	37	55	47	111	156	269	86	62	45	49	38	55	48
64	243	287	185	83	64	47	56	40	68	55	243	287	186	83	64	47	56	39	68	57	49	51	46	38	33	28	32	26	38	34	3	2	2	3	3	3	3	3	3	4	3	3	3	3	3	3	4	4	3	3	3	2	3	2	2	3	3	4	3	3	3	3	4	4	3	4	4	4	5	4	36	38	34	28	25	23	24	20	25	24	111	158	271	86	62	45	48	37	55	47	111	156	269	86	62	46	49	37	54	47
81	243	287	184	84	64	48	56	39	68	56	242	287	185	83	64	47	56	40	68	56	47	51	46	37	33	28	32	24	36	33	4	2	3	3	2	2	2	3	2	2	4	3	3	3	2	4	2	3	2	3	3	2	2	2	2	3	2	3	2	3	4	4	4	3	4	4	4	4	4	4	36	37	34	28	25	23	22	19	25	24	112	157	271	87	61	46	48	37	55	47	112	157	269	86	62	45	49	38	55	47
100	242	287	185	83	65	48	56	39	68	56	243	287	186	84	64	48	56	39	67	56	48	51	46	38	33	28	32	24	36	34	4	3	2	3	2	2	2	3	3	3	3	3	3	3	2	4	2	4	3	3	2	2	3	3	2	3	2	5	2	3	4	3	3	3	3	4	3	6	3	4	37	37	34	28	25	22	23	19	24	24	112	156	271	86	62	45	49	37	56	47	112	156	270	87	61	45	49	37	54	48
118	243	287	186	83	64	48	55	39	67	58	243	287	186	83	64	47	56	39	68	55	47	51	46	37	34	28	32	25	37	33	3	3	2	2	2	3	5	3	3	3	3	3	4	5	3	4	3	4	3	4	2	2	2	3	2	2	2	3	2	3	4	5	4	3	3	3	3	4	3	4	36	38	34	28	26	23	23	20	25	22	112	156	271	86	62	45	48	37	54	48	112	156	269	86	62	45	50	37	54	47
134	243	287	186	85	65	47	56	39	67	56	243	287	185	83	65	47	56	39	67	56	47	51	46	38	34	28	32	25	37	33	3	3	3	3	3	3	3	3	3	3	3	3	5	3	3	4	3	4	3	4	3	2	2	2	2	4	3	3	3	3	3	3	3	3	4	3	5	5	3	3	37	37	34	28	25	24	23	20	25	23	112	156	271	87	62	46	50	39	56	47	113	156	270	87	62	47	49	37	55	47
151	243	287	185	83	64	47	56	39	67	57	243	288	187	84	64	47	56	39	67	56	48	52	48	38	33	28	33	25	37	33	3	3	3	3	3	3	3	3	3	3	4	4	2	3	3	3	4	4	3	3	3	2	2	2	3	3	4	3	2	3	4	4	3	4	3	4	4	5	3	3	38	37	34	30	27	24	24	21	26	24	112	156	271	87	63	47	50	38	55	47	112	156	269	87	63	46	49	37	54	47
