8	272	336	215	81	63	47	59	41	72	61	271	336	216	82	64	47	59	42	73	60	78	75	69	47	41	33	39	30	47	39	1	0	0	2	1	2	1	2	1	1	0	1	1	1	1	2	1	2	1	1	1	0	0	1	0	2	1	2	1	1	8	8	8	10	8	8	7	7	8	8	39	39	35	29	26	23	25	20	26	25	130	184	294	81	59	44	51	40	59	50	130	183	293	81	59	44	51	39	59	50
19	272	335	215	81	63	47	59	41	71	59	272	337	215	80	64	46	59	42	71	59	78	75	68	47	41	33	39	30	45	41	1	1	1	1	1	2	1	2	1	1	1	1	1	1	1	1	1	2	1	1	1	0	0	1	1	3	1	2	2	1	8	8	8	9	7	7	9	9	8	8	39	39	36	28	25	22	24	20	27	25	130	183	294	81	59	44	52	39	58	50	129	183	294	81	59	44	52	39	58	51
26	272	336	215	81	64	47	59	41	72	59	271	337	215	81	64	46	59	42	71	59	78	74	69	48	41	33	40	32	45	40	1	1	2	1	2	2	1	2	1	1	1	1	1	1	1	2	3	2	1	1	1	1	1	1	2	2	2	3	2	2	8	8	7	8	8	8	9	9	9	9	38	39	35	27	25	22	26	22	27	25	130	183	294	81	59	44	51	41	59	50	130	184	293	82	61	45	53	40	59	50
65	271	336	215	81	64	47	60	41	71	59	272	336	215	81	64	47	59	41	71	59	79	75	69	49	41	33	38	30	46	40	1	1	1	1	1	2	1	1	2	2	1	1	1	1	1	1	1	3	2	1	1	0	1	1	1	2	1	3	2	3	8	8	7	8	8	8	8	9	9	8	39	39	35	28	25	22	26	22	28	25	130	183	294	81	60	44	52	39	59	51	130	184	293	81	59	45	51	39	60	51
70	271	336	215	81	64	47	59	41	73	60	272	337	215	81	64	45	59	42	72	60	78	75	69	48	40	34	40	31	45	41	2	2	2	1	1	2	1	2	1	1	2	1	1	1	1	2	2	3	2	1	1	0	0	2	1	2	1	1	2	2	8	8	9	8	9	8	9	9	8	9	39	38	36	28	25	22	24	20	27	26	130	184	294	81	60	44	51	40	60	51	129	183	293	81	60	44	53	40	59	50
80	272	336	215	81	64	47	58	41	71	59	272	337	215	81	64	46	58	41	71	59	78	76	69	48	41	33	39	30	45	40	3	2	1	1	1	1	0	1	1	1	3	2	1	2	1	1	0	2	1	2	1	0	0	1	0	1	1	2	2	1	8	8	8	8	8	8	8	8	8	8	38	38	35	28	24	22	24	20	27	25	129	183	294	81	59	44	51	39	59	50	129	183	293	81	59	45	51	39	59	50
96	271	336	215	81	64	47	59	41	71	59	272	337	215	81	65	46	59	42	71	59	78	75	68	47	41	33	39	32	47	39	0	0	0	1	1	2	1	2	0	2	0	0	1	2	1	2	1	2	1	1	2	0	0	1	1	2	1	2	1	1	8	8	8	8	7	7	8	8	8	8	39	38	35	28	25	22	24	20	27	25	130	183	294	81	59	45	51	39	59	51	129	184	294	81	60	43	52	38	59	51
114	271	336	214	81	64	47	59	41	71	59	271	337	215	81	64	47	59	41	71	59	78	75	69	48	42	34	40	30	46	39	1	1	2	2	1	2	1	2	2	2	2	1	1	1	1	3	1	3	2	1	2	1	0	1	2	2	1	3	1	1	8	9	9	8	8	8	8	9	8	8	40	39	35	27	25	21	25	21	27	25	130	184	294	81	59	43	51	39	60	51	130	183	293	81	59	45	52	40	59	50
129	271	336	215	81	64	46	59	41	72	59	271	337	215	81	65	47	59	41	71	59	78	75	69	49	41	33	39	30	45	40	1	1	1	1	1	1	1	3	2	3	1	1	1	2	1	3	3	3	2	2	2	0	0	3	1	1	1	2	2	2	8	8	9	8	8	7	8	10	9	8	39	38	36	27	25	22	24	21	29	25	129	184	294	82	60	44	51	39	59	51	129	183	293	81	59	44	51	39	59	51
151	271	336	214	81	64	47	59	41	72	59	271	337	215	81	64	47	59	42	72	59	78	75	69	48	41	35	40	30	45	40	1	1	1	1	1	1	2	3	1	2	1	1	1	1	2	1	1	2	0	1	0	1	1	1	2	2	1	1	1	2	9	9	9	8	7	8	8	7	8	8	38	40	36	28	25	22	24	20	27	25	130	183	294	81	60	43	51	39	59	50	130	183	293	81	61	43	51	39	59	51
