10	257	305	207	94	74	52	59	39	73	61	258	305	207	94	73	53	58	40	74	61	81	89	83	60	50	39	42	31	48	43	46	54	46	36	33	26	27	22	30	27	5	5	5	5	6	6	6	6	5	4	5	4	5	5	5	7	6	5	5	6	10	10	11	10	10	10	10	9	11	11	47	47	43	35	31	27	27	22	32	30	122	168	280	94	68	50	50	38	59	51	122	169	280	94	68	49	50	38	59	50
55	257	305	207	95	73	53	58	39	72	60	258	305	207	94	73	52	57	40	72	60	83	91	86	61	50	40	41	31	49	43	47	56	46	36	31	26	27	22	30	28	6	5	5	5	4	5	4	4	5	4	6	5	5	5	5	6	5	5	4	5	12	11	11	11	10	9	9	8	9	9	46	47	44	35	30	27	27	22	30	28	122	169	280	94	68	49	50	37	58	50	122	169	280	94	68	49	49	38	59	50
76	257	306	207	95	73	52	57	39	73	60	258	305	207	95	74	54	57	39	73	61	84	92	87	63	51	40	43	31	50	43	45	55	45	35	31	26	27	22	30	28	5	5	6	6	6	6	5	5	6	6	4	4	4	4	4	5	4	5	4	5	11	11	11	10	9	9	10	10	10	10	45	46	42	34	30	26	26	22	30	28	122	168	280	94	67	49	50	37	58	50	121	168	280	94	67	49	50	37	58	50
89	257	305	207	95	74	52	57	40	73	61	257	305	208	95	74	52	57	39	73	61	84	93	87	64	51	40	42	32	50	44	45	54	45	35	31	26	26	22	30	27	5	5	5	5	4	5	4	5	5	5	4	4	4	5	4	5	5	4	4	4	11	11	10	11	10	10	10	9	10	10	42	44	41	32	29	26	26	21	29	27	122	168	280	95	69	49	50	37	58	50	121	169	279	95	68	49	49	37	59	51
95	257	304	208	94	73	53	57	40	72	60	258	306	208	94	73	52	56	41	73	61	85	94	89	63	51	40	41	31	49	43	46	55	45	34	30	25	25	20	28	26	6	5	5	6	6	6	6	6	5	4	5	4	6	6	6	6	4	5	5	4	11	11	11	10	10	11	11	9	9	9	43	43	41	32	29	27	26	21	29	28	122	169	281	94	67	49	50	37	59	50	122	168	280	94	68	49	50	38	58	51
108	257	306	208	95	74	53	57	40	73	60	257	306	208	95	75	53	57	39	73	61	84	94	88	65	52	41	42	31	49	43	39	45	39	31	27	25	25	19	27	25	5	5	5	5	6	6	6	5	5	5	4	5	4	4	5	5	3	5	4	4	11	11	11	10	10	10	9	9	9	10	43	43	40	32	29	26	25	21	29	27	122	170	279	94	68	49	49	37	58	50	123	169	279	94	67	49	49	37	59	50
113	257	305	208	94	74	53	57	39	74	61	256	306	208	94	74	52	57	39	73	62	84	95	89	64	51	40	41	32	50	43	36	40	35	30	26	23	23	19	25	23	5	6	5	6	4	5	4	5	4	4	4	4	4	5	4	5	3	4	4	5	10	11	11	10	10	10	9	10	11	11	43	43	40	32	29	26	26	21	29	27	122	169	280	94	68	49	50	38	59	51	122	168	280	95	68	50	50	39	59	51
141	257	305	208	94	73	52	57	39	73	60	257	305	208	94	73	53	57	40	73	61	84	94	87	62	50	39	41	31	50	43	29	33	29	23	22	23	20	18	23	20	5	5	4	4	4	6	5	5	4	5	4	3	3	3	3	4	4	5	4	4	11	11	10	10	10	10	10	11	11	9	43	44	41	33	30	26	27	21	29	27	122	169	279	94	68	48	49	37	59	51	122	169	279	95	67	49	50	38	59	51
154	257	306	208	95	73	52	57	39	73	60	258	306	208	95	74	52	56	40	73	62	85	96	89	63	51	39	41	31	49	43	27	30	27	23	21	19	18	17	19	18	4	5	5	4	4	5	4	4	4	4	2	2	3	4	4	5	4	4	3	3	11	11	11	11	9	11	10	9	9	9	43	43	41	33	30	26	27	22	29	28	122	169	279	95	68	49	49	39	59	51	122	169	280	94	69	49	50	39	59	50
166	257	305	208	94	73	52	56	39	72	60	257	306	208	94	74	51	56	40	72	60	85	94	87	61	50	39	42	31	49	43	24	27	25	20	19	17	17	15	19	18	5	5	4	4	4	5	4	5	5	4	3	3	3	3	3	3	3	4	4	3	11	12	11	11	10	9	9	9	10	10	43	43	40	32	29	26	25	21	29	28	123	169	279	93	68	49	48	37	58	50	122	169	279	93	68	48	48	37	58	50
